,URI,Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition
0,test/your installation/1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19,1/DZ_PG_67/ZM4394/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG310,WW,1
1,test/your installation/2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19,2/DZ_PG_30/ZM4361/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG152,WW,1
2,test/your installation/3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19,3/DZ_PG_49/ZM4389/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG228,WW,1
3,test/your installation/4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19,4/DZ_PG_66/ZM4391/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG318,WW,1
4,test/your installation/5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19,5/DZ_PG_20/ZM4344/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG119,WW,1
5,test/your installation/6/DKC4590/XXXX/WW/1/DIA2017-05-19,6/DKC4590/XXXX/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WW,1
6,test/your installation/7/DKC4590/XXXX/WW/1/DIA2017-05-19,7/DKC4590/XXXX/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WW,1
7,test/your installation/8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19,8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG007,WW,1
8,test/your installation/9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19,9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG109,WW,1
9,test/your installation/10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19,10/DZ_PG_48/ZM4421/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG216,WW,1
10,test/your installation/11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,11/DZ_PG_25/ZM4382/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG136,WW,1
11,test/your installation/12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,12/DZ_PG_10/ZM4365/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG073,WW,1
12,test/your installation/13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19,13/DZ_PG_24/ZM4342/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG131,WW,1
13,test/your installation/14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19,14/DZ_PG_22/ZM4349/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG121,WW,1
14,test/your installation/15/DZ_PG_54/ZM4346/WW/1/DIA2017-05-19,15/DZ_PG_54/ZM4346/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG116,WW,1
15,test/your installation/16/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19,16/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WW,1
16,test/your installation/17/DZ_PG_37/ZM4364/WW/1/DIA2017-05-19,17/DZ_PG_37/ZM4364/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG167,WW,1
17,test/your installation/18/DZ_PG_53/ZM4345/WW/1/DIA2017-05-19,18/DZ_PG_53/ZM4345/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG190,WW,1
18,test/your installation/19/DZ_PG_69/ZM4396/WW/1/DIA2017-05-19,19/DZ_PG_69/ZM4396/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WW,1
19,test/your installation/20/DKC4590/XXXX/WW/1/DIA2017-05-19,20/DKC4590/XXXX/WW/1/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WW,1
